rank,game,prize,players,tournaments,month,year
69,Soul Calibur VI,330.8,11,2,9,2022
70,Tekken Tag Tournament 2,325.6,8,1,9,2022
71,Power Rangers: Battle for the Grid,280.0,3,1,9,2022
72,Super Street Fighter II Turbo,272.7,3,1,9,2022
73,Capcom vs. SNK 2,250.0,3,1,9,2022
74,Marvel vs. Capcom 2,219.73,8,1,9,2022
75,Age of Empires III,100.0,1,1,9,2022
1,Dota 2,19128016.32,320,8,10,2022
2,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,3028699.0,751,17,10,2022
3,Counter-Strike: Global Offensive,1882796.84,828,36,10,2022
4,Arena of Valor,1357859.89,382,8,10,2022
5,Fortnite,1086000.0,338,36,10,2022
6,Halo Infinite,1000000.0,64,1,10,2022
7,Rocket League,730033.26,481,36,10,2022
8,Rainbow Six Siege,643872.23,315,11,10,2022
9,Mobile Legends: Bang Bang,571016.62,408,11,10,2022
10,Magic: The Gathering Arena,500000.0,32,1,10,2022
11,PLAYERUNKNOWN’S BATTLEGROUNDS,500000.0,138,2,10,2022
12,Free Fire,479899.96,216,4,10,2022
13,Chess.com,445000.0,63,3,10,2022
14,StarCraft II,385735.0,150,31,10,2022
15,Apex Legends,359566.03,173,19,10,2022
16,Call of Duty: Mobile,358800.0,35,1,10,2022
17,Hearthstone,306541.2,126,5,10,2022
18,Age of Empires IV,305879.47,56,13,10,2022
19,iRacing.com,301300.0,32,2,10,2022
20,FIFA Online 4,300000.0,53,1,10,2022
21,VALORANT,213587.92,331,13,10,2022
22,Age of Empires II,205400.68,84,21,10,2022
23,Call of Duty: Warzone,155000.0,39,3,10,2022
24,chess24,140250.0,16,1,10,2022
25,StarCraft: Remastered,76152.0,51,3,10,2022
26,Assetto Corsa Competizione,61063.2,112,4,10,2022
27,Age of Empires,54684.56,35,7,10,2022
28,Tekken 7,50112.98,31,12,10,2022
29,League of Legends: Wild Rift,45000.0,42,1,10,2022
30,WarCraft III: Reforged,40207.0,33,13,10,2022
31,Minecraft,36500.0,24,2,10,2022
32,VAIL VR,35000.0,15,1,10,2022
33,Super People,24526.0,13,5,10,2022
34,Street Fighter V: Champion Edition,13913.44,20,5,10,2022
35,Point Blank,13123.8,24,1,10,2022
36,Assetto Corsa,12668.5,20,2,10,2022
37,Gran Turismo 7,10500.0,10,2,10,2022
38,Teamfight Tactics,7643.27,32,1,10,2022
39,Dragon Ball FighterZ,6004.83,24,3,10,2022
40,Guilty Gear -STRIVE-,4861.66,14,3,10,2022
41,Super Smash Bros. Ultimate,4710.3,11,2,10,2022
42,Diabotical,4232.79,28,18,10,2022
43,Nock,4000.0,10,1,10,2022
44,Trackmania (2020),3032.79,53,23,10,2022
45,osu!,2678.96,30,6,10,2022
46,King of Fighters XV,2346.0,10,3,10,2022
47,Lichess,2000.0,8,2,10,2022
48,Quake Champions,1485.0,2,1,10,2022
49,DNF Duel,1328.4,7,2,10,2022
50,Blaston,973.36,8,2,10,2022
51,Age of Mythology,610.0,14,6,10,2022
52,Soul Calibur VI,588.13,3,1,10,2022
53,Mortal Kombat 11,550.0,4,1,10,2022
54,Ultimate Marvel vs. Capcom 3,430.0,3,1,10,2022
55,Granblue Fantasy: Versus,352.88,3,1,10,2022
56,Overwatch 2,303.0,10,1,10,2022
57,Street Fighter III: 3rd Strike,289.17,3,1,10,2022
58,Ultra Street Fighter IV,200.0,2,1,10,2022
59,Super Street Fighter II Turbo,181.37,3,1,10,2022
60,Vampire Savior,176.43,3,1,10,2022
61,Age of Empires Online,160.0,5,1,10,2022
62,Melty Blood: Type Lumina,140.0,2,1,10,2022
63,Guilty Gear Xrd REV 2,122.53,3,1,10,2022
64,Age of Empires III,100.0,1,1,10,2022
65,Artifact Classic,24.8,1,1,10,2022
1,PLAYERUNKNOWN’S BATTLEGROUNDS,3480143.07,179,3,11,2022
2,Overwatch 2,2575552.0,165,4,11,2022
3,League of Legends,2353218.97,228,7,11,2022
4,Counter-Strike: Global Offensive,2291737.17,408,12,11,2022
5,Free Fire,1780000.0,70,1,11,2022
6,Fortnite,1496500.0,251,14,11,2022
7,Brawl Stars,1000000.0,54,1,11,2022
8,VALORANT,777114.77,286,15,11,2022
9,Teamfight Tactics,712074.0,42,2,11,2022
10,Rainbow Six Siege,595260.09,160,5,11,2022
11,Chess.com,535000.0,35,13,11,2022
12,Rocket League,516137.22,457,35,11,2022
13,Brawlhalla,500200.0,170,4,11,2022
14,Dota 2,245809.94,179,5,11,2022
15,CrossFire HD,210720.0,36,1,11,2022
16,chess24,210000.0,8,1,11,2022
17,Apex Legends,154702.21,106,13,11,2022
18,Summoners War: Sky Arena,140000.0,4,1,11,2022
19,CrossFire,139220.0,51,1,11,2022
20,Call of Duty: Warzone 2.0,131788.78,62,12,11,2022
21,StarCraft II,127920.85,77,18,11,2022
22,FIFA Online 4,115657.28,44,2,11,2022
23,Minecraft,112600.0,59,5,11,2022
24,Mobile Legends: Bang Bang,103579.67,130,2,11,2022
25,Naraka: Bladepoint,62241.09,37,3,11,2022
26,Call of Duty: Modern Warfare II,61500.0,24,2,11,2022
27,Tekken 7,57569.47,47,11,11,2022
28,Super Smash Bros. Ultimate,46362.62,28,3,11,2022
29,Street Fighter V: Champion Edition,38909.9,42,10,11,2022
30,Age of Empires II,37028.86,142,21,11,2022
31,King of Fighters XV,20430.8,47,8,11,2022
32,WarCraft III: Reforged,11763.0,19,3,11,2022
